,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,doji_candle,shaved_bottom,shaved_top,bull_marubozu,bear_marubozu,hammer_candle,shooting_star,white_solider,black_crow,bull_engulf,bear_engulf,tweezer_top,tweezer_bottom,evening_star,morning_star,exp20,exp105,percent_change
0,1999-07-16,22.73,22.8,22.55,22.71,231400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71,22.71,
1,1999-07-19,23.28,23.3,22.5,22.75,158200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.730487804878052,22.730094786729858,0.001761338617349173
2,1999-07-20,22.59,22.59,22.23,22.27,79400,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22.569444885011897,22.575273876194185,-0.021098901098901113
3,1999-07-21,22.27,22.39,22.09,22.32,75200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50244830486355,22.510545182306167,0.0022451728783117186
4,1999-07-22,22.3,22.32,22.18,22.27,33500,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.451315256967245,22.46151982448745,-0.0022401433691756623
5,1999-07-23,21.4,21.4,20.95,21.06,114700,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.190254867185566,22.222363148860097,-0.054333183655141504
6,1999-07-26,20.97,21.31,20.95,21.22,46000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.030560324334587,22.075064516845117,0.007597340930674212
7,1999-07-27,21.7,22.04,21.59,22.0,82400,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.026057134995447,22.065367229466563,0.03675777568331773
8,1999-07-28,21.4,21.72,21.22,21.54,93100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.96093007099991,22.00475549993281,-0.020909090909090988
9,1999-07-29,21.54,21.54,21.04,21.04,65600,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,21.847344682983007,21.90411312741838,-0.0232126276694522
10,1999-07-30,22.04,22.04,21.77,22.04,82900,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.869433787797732,21.917060229367607,0.04752851711026618
11,1999-08-02,22.14,23.16,22.14,22.91,73700,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.981245511174425,22.004186736933658,0.03947368421052633
12,1999-08-03,23.14,23.14,22.82,23.05,97300,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22.08960272725478,22.08928821160213,0.006110868616324705
13,1999-08-04,23.14,23.42,22.89,23.37,64500,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.212793979611895,22.18651010212551,0.0138828633405641
14,1999-08-05,22.43,22.59,21.95,22.57,192800,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.245569260709022,22.213807076269365,-0.034231921266581145
15,1999-08-06,21.88,22.0,21.59,21.63,110200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.191475433052364,22.174668131528858,-0.041648205582631825
16,1999-08-09,21.5,21.59,21.43,21.47,52900,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.130528526679075,22.12999976178715,-0.0073971336107258034
17,1999-08-10,20.85,21.08,20.72,21.08,67500,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.044939243920492,22.066848432971646,-0.018164881229622787
18,1999-08-11,21.31,21.5,21.17,21.5,46500,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.00199543116275,22.03440122700505,0.019924098671726842
19,1999-08-12,22.36,22.36,22.09,22.11,70200,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0102493035741,22.038531165834296,0.02837209302325583
20,1999-08-13,21.95,22.32,21.95,22.18,55200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.022858725957693,22.045925379806647,0.003165988240615203
21,1999-08-16,22.18,22.27,22.04,22.16,53000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.032781290084426,22.0516428683842,-0.0009017132551848439
22,1999-08-17,22.32,22.32,22.14,22.18,36800,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.043175887494264,22.057824687577657,0.0009025270758122872
23,1999-08-18,22.41,22.45,22.08,22.2,36000,0.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0539998729162,22.064416715118156,0.0009017132551847329
24,1999-08-19,22.59,23.01,22.59,22.94,69300,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.11387024071051,22.103567656231498,0.03333333333333344
25,1999-08-20,23.15,23.47,23.15,23.43,52300,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.201066119397534,22.16085675025877,0.021360069747166532
26,1999-08-23,23.57,24.03,23.57,23.66,105400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29595498428218,22.223490984660046,0.00981647460520696
27,1999-08-24,23.52,23.59,23.03,23.59,119000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37867838993054,22.27879489469792,-0.00295857988165682
28,1999-08-25,23.61,23.7,22.85,22.87,137700,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22.40958276011973,22.3020012677158,-0.030521407376006726
29,1999-08-26,23.52,23.52,22.92,22.94,89700,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22.44244409597262,22.326319283502603,0.003060778312199419
30,1999-08-27,23.03,23.2,22.62,22.64,88100,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.45451045694099,22.33794219545699,-0.013077593722755076
31,1999-08-30,23.15,23.27,22.92,22.94,97400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.483769487109907,22.359650856646006,0.013250883392226243
32,1999-08-31,23.03,23.15,22.73,23.06,51000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.518063458496897,22.38424876965563,0.0052310374891018085
33,1999-09-01,22.85,22.85,22.66,22.83,81200,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22.536409915706784,22.399512502924352,-0.009973980919340875
34,1999-09-02,22.48,22.5,22.22,22.48,41400,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53312891584301,22.402201893093867,-0.015330705212439732
35,1999-09-03,22.78,22.87,22.71,22.87,88300,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.552518078786456,22.417466740276073,0.017348754448398562
36,1999-09-07,23.06,23.06,22.83,22.87,21900,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.570611462517316,22.43189869359209,0.0
37,1999-09-08,22.59,22.76,22.55,22.69,25900,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.57735227899142,22.43994913222252,-0.007870572802798459
38,1999-09-09,23.24,23.24,23.08,23.2,74300,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22.612199573592907,22.46315107551683,0.022476862053768087
39,1999-09-10,23.24,23.24,23.06,23.24,82200,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22.64704438733601,22.486375931421595,0.0017241379310344307
40,1999-09-13,22.83,22.87,22.66,22.83,75400,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.657119542500617,22.49644300129591,-0.01764199655765919
41,1999-09-14,22.55,22.55,22.39,22.43,59200,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.64470481775885,22.494534348198,-0.01752080595707395
42,1999-09-15,21.92,21.92,21.48,21.76,118500,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22.596683602449524,22.47383335590125,-0.029870708872046237
